image_id,sequence_id,sensor,scene_type,split,question_type,variant,template_id,question,question_paraphrased,answer,answer_type,answer_space,image_path,depth_path,source,evidence
40777073/1108.287,40777073,lidar,unknown,val,existence,positive,3,Can you spot a cabinet in the picture?,,yes,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""cabinet"", ""object_index"": 3, ""area_frac"": 0.0555636681685062}"
40777073/1108.287,40777073,lidar,unknown,val,existence,positive,0,Is there a shelf in this room?,,yes,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""shelf"", ""object_index"": 2, ""area_frac"": 0.05128589617262259}"
40777073/1108.287,40777073,lidar,unknown,val,existence,negative,3,Can you spot a armchair in the picture?,,no,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""armchair"", ""reason"": ""category_or_scene_type_plausible""}"
40777073/1108.287,40777073,lidar,unknown,val,existence,negative,1,Do you see a bed here?,,no,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""bed"", ""reason"": ""category_or_scene_type_plausible""}"
40777073/1108.287,40777073,lidar,unknown,val,existence,negative,0,Is there a bed frame in this room?,,no,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""bedframe"", ""reason"": ""category_or_scene_type_plausible""}"
40777073/1108.287,40777073,lidar,unknown,val,existence,negative,1,Do you see a bench here?,,no,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""bench"", ""reason"": ""category_or_scene_type_plausible""}"
40777073/1108.287,40777073,lidar,unknown,val,existence,negative,3,Can you spot a bookshelf in the picture?,,no,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""bookshelf"", ""reason"": ""category_or_scene_type_plausible""}"
40777073/1108.287,40777073,lidar,unknown,val,existence,negative,2,Does this room contain a chair?,,no,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""chair"", ""reason"": ""category_or_scene_type_plausible""}"
40777073/1108.287,40777073,lidar,unknown,val,existence,negative,1,Do you see a coffee table here?,,no,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""coffeetable"", ""reason"": ""category_or_scene_type_plausible""}"
40777073/1108.287,40777073,lidar,unknown,val,existence,negative,3,Can you spot a counter in the picture?,,no,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""counter"", ""reason"": ""category_or_scene_type_plausible""}"
40777073/1108.287,40777073,lidar,unknown,val,existence,negative,0,Is there a cupboard in this room?,,no,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""cupboard"", ""reason"": ""category_or_scene_type_plausible""}"
40777073/1108.287,40777073,lidar,unknown,val,existence,negative,3,Can you spot a desk in the picture?,,no,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""desk"", ""reason"": ""category_or_scene_type_plausible""}"
40777073/1108.287,40777073,lidar,unknown,val,existence,negative,0,Is there a drawer in this room?,,no,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""drawer"", ""reason"": ""category_or_scene_type_plausible""}"
40777073/1108.287,40777073,lidar,unknown,val,existence,negative,5,Is there any dresser visible in the image?,,no,yes_no,yes|no,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_wide/40777073_1108.287.png,ARKitScenes/3dod/Training/40777073/40777073_frames/lowres_depth/40777073_1108.287.png,rule,"{""concept"": ""dresser"", ""reason"": ""category_or_scene_type_plausible""}"
