image_id,sequence_id,sensor,scene_type,split,question_type,variant,template_id,question,question_paraphrased,answer,answer_type,answer_space,image_path,depth_path,source,evidence
40958756/1639.077,40958756,lidar,unknown,train,left_right,,0,Is the toilet to the left or to the right of the sink?,,right,choice,left|right,ARKitScenes/3dod/Training/40958756/40958756_frames/lowres_wide/40958756_1639.077.png,ARKitScenes/3dod/Training/40958756/40958756_frames/lowres_depth/40958756_1639.077.png,rule,"{""a_concept"": ""toilet"", ""b_concept"": ""sink"", ""a_centroid_x"": 242.59949839062688, ""b_centroid_x"": 175.51073011808933, ""horizontal_gap_px"": 67.08876827253755, ""image_width"": 256}"
40958756/1643.175,40958756,lidar,unknown,train,left_right,,1,"Relative to the sink, is the toilet on the left or the right?",,right,choice,left|right,ARKitScenes/3dod/Training/40958756/40958756_frames/lowres_wide/40958756_1643.175.png,ARKitScenes/3dod/Training/40958756/40958756_frames/lowres_depth/40958756_1643.175.png,rule,"{""a_concept"": ""toilet"", ""b_concept"": ""sink"", ""a_centroid_x"": 201.99900220471181, ""b_centroid_x"": 78.34931885177527, ""horizontal_gap_px"": 123.64968335293655, ""image_width"": 256}"
40958767/2195.876,40958767,lidar,unknown,val,left_right,,2,"Looking at the table, is the chair positioned on its left or right?",,right,choice,left|right,ARKitScenes/3dod/Training/40958767/40958767_frames/lowres_wide/40958767_2195.876.png,ARKitScenes/3dod/Training/40958767/40958767_frames/lowres_depth/40958767_2195.876.png,rule,"{""a_concept"": ""chair"", ""b_concept"": ""table"", ""a_centroid_x"": 81.01290110062189, ""b_centroid_x"": 21.273042957974127, ""horizontal_gap_px"": 59.73985814264776, ""image_width"": 256}"
41007591/2644.525,41007591,lidar,unknown,train,left_right,,5,"From the toilet, which direction is the sink in, left or right?",,left,choice,left|right,ARKitScenes/3dod/Training/41007591/41007591_frames/lowres_wide/41007591_2644.525.png,ARKitScenes/3dod/Training/41007591/41007591_frames/lowres_depth/41007591_2644.525.png,rule,"{""a_concept"": ""sink"", ""b_concept"": ""toilet"", ""a_centroid_x"": 84.39430630843206, ""b_centroid_x"": 217.3382054035902, ""horizontal_gap_px"": 132.94389909515814, ""image_width"": 256}"
41048071/4469.317,41048071,lidar,unknown,train,left_right,,3,Is the cabinet on the left side or the right side of the table?,,left,choice,left|right,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_wide/41048071_4469.317.png,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_depth/41048071_4469.317.png,rule,"{""a_concept"": ""cabinet"", ""b_concept"": ""table"", ""a_centroid_x"": 20.17765095408998, ""b_centroid_x"": 179.83493484642895, ""horizontal_gap_px"": 159.65728389233897, ""image_width"": 256}"
41048071/4469.317,41048071,lidar,unknown,train,left_right,,2,"Looking at the chair, is the cabinet positioned on its left or right?",,left,choice,left|right,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_wide/41048071_4469.317.png,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_depth/41048071_4469.317.png,rule,"{""a_concept"": ""cabinet"", ""b_concept"": ""chair"", ""a_centroid_x"": 20.17765095408998, ""b_centroid_x"": 113.32876842249323, ""horizontal_gap_px"": 93.15111746840324, ""image_width"": 256}"
41048071/4469.317,41048071,lidar,unknown,train,left_right,,0,Is the table to the left or to the right of the chair?,,right,choice,left|right,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_wide/41048071_4469.317.png,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_depth/41048071_4469.317.png,rule,"{""a_concept"": ""table"", ""b_concept"": ""chair"", ""a_centroid_x"": 179.83493484642895, ""b_centroid_x"": 113.32876842249323, ""horizontal_gap_px"": 66.50616642393572, ""image_width"": 256}"
41048071/4513.516,41048071,lidar,unknown,train,left_right,,2,"Looking at the chair, is the fireplace positioned on its left or right?",,left,choice,left|right,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_wide/41048071_4513.516.png,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_depth/41048071_4513.516.png,rule,"{""a_concept"": ""fireplace"", ""b_concept"": ""chair"", ""a_centroid_x"": 146.16860619927942, ""b_centroid_x"": 191.89881359955368, ""horizontal_gap_px"": 45.73020740027425, ""image_width"": 256}"
41048247/4187.167,41048247,lidar,unknown,train,left_right,,4,"Which side of the bathtub is the toilet on, left or right?",,right,choice,left|right,ARKitScenes/3dod/Training/41048247/41048247_frames/lowres_wide/41048247_4187.167.png,ARKitScenes/3dod/Training/41048247/41048247_frames/lowres_depth/41048247_4187.167.png,rule,"{""a_concept"": ""toilet"", ""b_concept"": ""bathtub"", ""a_centroid_x"": 106.91963883750238, ""b_centroid_x"": 66.9136964470815, ""horizontal_gap_px"": 40.00594239042087, ""image_width"": 256}"
41069076/3118.824,41069076,lidar,unknown,train,left_right,,5,"From the cabinet, which direction is the sink in, left or right?",,right,choice,left|right,ARKitScenes/3dod/Training/41069076/41069076_frames/lowres_wide/41069076_3118.824.png,ARKitScenes/3dod/Training/41069076/41069076_frames/lowres_depth/41069076_3118.824.png,rule,"{""a_concept"": ""sink"", ""b_concept"": ""cabinet"", ""a_centroid_x"": 219.30376983968543, ""b_centroid_x"": 41.175764260141825, ""horizontal_gap_px"": 178.1280055795436, ""image_width"": 256}"
