image_id,sequence_id,sensor,scene_type,split,question_type,variant,template_id,question,question_paraphrased,answer,answer_type,answer_space,image_path,depth_path,source,evidence
40958756/1643.175,40958756,lidar,unknown,train,relative_depth,farther,5,"Which one is farther, the sink or the toilet?",,sink,choice,sink|toilet,ARKitScenes/3dod/Training/40958756/40958756_frames/lowres_wide/40958756_1643.175.png,ARKitScenes/3dod/Training/40958756/40958756_frames/lowres_depth/40958756_1643.175.png,rule,"{""a_concept"": ""toilet"", ""a_depth_m"": 0.8519999980926514, ""b_concept"": ""sink"", ""b_depth_m"": 1.244499921798706, ""comparative"": ""farther"", ""answer_concept"": ""sink""}"
40958767/2195.876,40958767,lidar,unknown,val,relative_depth,farther,0,"Which is farther from the camera, the chair or the table?",,table,choice,chair|table,ARKitScenes/3dod/Training/40958767/40958767_frames/lowres_wide/40958767_2195.876.png,ARKitScenes/3dod/Training/40958767/40958767_frames/lowres_depth/40958767_2195.876.png,rule,"{""a_concept"": ""chair"", ""a_depth_m"": 1.4190000295639038, ""b_concept"": ""table"", ""b_depth_m"": 2.4820001125335693, ""comparative"": ""farther"", ""answer_concept"": ""table""}"
41048071/4469.317,41048071,lidar,unknown,train,relative_depth,farther,5,"Which one is farther, the cabinet or the table?",,cabinet,choice,cabinet|table,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_wide/41048071_4469.317.png,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_depth/41048071_4469.317.png,rule,"{""a_concept"": ""cabinet"", ""a_depth_m"": 3.0999999046325684, ""b_concept"": ""table"", ""b_depth_m"": 1.9570000171661377, ""comparative"": ""farther"", ""answer_concept"": ""cabinet""}"
41048071/4469.317,41048071,lidar,unknown,train,relative_depth,closer,0,"Which is closer to the camera, the chair or the table?",,table,choice,chair|table,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_wide/41048071_4469.317.png,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_depth/41048071_4469.317.png,rule,"{""a_concept"": ""table"", ""a_depth_m"": 1.9570000171661377, ""b_concept"": ""chair"", ""b_depth_m"": 3.5290000438690186, ""comparative"": ""closer"", ""answer_concept"": ""table""}"
41048247/4187.167,41048247,lidar,unknown,train,relative_depth,farther,2,Is the bathtub or the toilet farther from the camera?,,bathtub,choice,bathtub|toilet,ARKitScenes/3dod/Training/41048247/41048247_frames/lowres_wide/41048247_4187.167.png,ARKitScenes/3dod/Training/41048247/41048247_frames/lowres_depth/41048247_4187.167.png,rule,"{""a_concept"": ""toilet"", ""a_depth_m"": 1.159000039100647, ""b_concept"": ""bathtub"", ""b_depth_m"": 1.5679999589920044, ""comparative"": ""farther"", ""answer_concept"": ""bathtub""}"
41069076/3118.824,41069076,lidar,unknown,train,relative_depth,closer,1,"Between the sink and the cabinet, which one is closer to the camera?",,sink,choice,sink|cabinet,ARKitScenes/3dod/Training/41069076/41069076_frames/lowres_wide/41069076_3118.824.png,ARKitScenes/3dod/Training/41069076/41069076_frames/lowres_depth/41069076_3118.824.png,rule,"{""a_concept"": ""sink"", ""a_depth_m"": 1.1440000534057617, ""b_concept"": ""cabinet"", ""b_depth_m"": 2.3299999237060547, ""comparative"": ""closer"", ""answer_concept"": ""sink""}"
41098140/877.939,41098140,lidar,unknown,train,relative_depth,closer,3,"Which object is closer to the camera, the chair or the refrigerator?",,chair,choice,chair|refrigerator,ARKitScenes/3dod/Training/41098140/41098140_frames/lowres_wide/41098140_877.939.png,ARKitScenes/3dod/Training/41098140/41098140_frames/lowres_depth/41098140_877.939.png,rule,"{""a_concept"": ""refrigerator"", ""a_depth_m"": 1.934000015258789, ""b_concept"": ""chair"", ""b_depth_m"": 1.1890000104904175, ""comparative"": ""closer"", ""answer_concept"": ""chair""}"
41125536/3325.816,41125536,lidar,unknown,val,relative_depth,farther,1,"Between the bed and the chair, which one is farther from the camera?",,chair,choice,bed|chair,ARKitScenes/3dod/Training/41125536/41125536_frames/lowres_wide/41125536_3325.816.png,ARKitScenes/3dod/Training/41125536/41125536_frames/lowres_depth/41125536_3325.816.png,rule,"{""a_concept"": ""bed"", ""a_depth_m"": 1.8370000123977661, ""b_concept"": ""chair"", ""b_depth_m"": 2.381999969482422, ""comparative"": ""farther"", ""answer_concept"": ""chair""}"
41125536/3373.413,41125536,lidar,unknown,val,relative_depth,closer,1,"Between the sofa and the table, which one is closer to the camera?",,table,choice,sofa|table,ARKitScenes/3dod/Training/41125536/41125536_frames/lowres_wide/41125536_3373.413.png,ARKitScenes/3dod/Training/41125536/41125536_frames/lowres_depth/41125536_3373.413.png,rule,"{""a_concept"": ""sofa"", ""a_depth_m"": 1.9320000410079956, ""b_concept"": ""table"", ""b_depth_m"": 1.3660000562667847, ""comparative"": ""closer"", ""answer_concept"": ""table""}"
41125709/3870.640,41125709,lidar,unknown,test,relative_depth,farther,3,"Which object is farther from the camera, the sofa or the table?",,sofa,choice,sofa|table,ARKitScenes/3dod/Validation/41125709/41125709_frames/lowres_wide/41125709_3870.640.png,ARKitScenes/3dod/Validation/41125709/41125709_frames/lowres_depth/41125709_3870.640.png,rule,"{""a_concept"": ""table"", ""a_depth_m"": 1.0809999704360962, ""b_concept"": ""sofa"", ""b_depth_m"": 1.5210000276565552, ""comparative"": ""farther"", ""answer_concept"": ""sofa""}"
