question_id,image_id,sequence_id,sensor,scene_type,split,question_type,variant,template_id,question,question_paraphrased,answer,answer_type,answer_space,image_path,depth_path,source,evidence
train_003865,42899432/188686.742,42899432,lidar,unknown,train,nearest_object,,2,What sits closest to the table?,,sink,object,,ARKitScenes/3dod/Training/42899432/42899432_frames/lowres_wide/42899432_188686.742.png,ARKitScenes/3dod/Training/42899432/42899432_frames/lowres_depth/42899432_188686.742.png,rule,"{""anchor_concept"": ""table"", ""anchor_object_index"": 4, ""answer_concept"": ""sink"", ""answer_object_index"": 2, ""nearest_distance_m"": 0.158, ""second_nearest_distance_m"": 0.25}"
train_000445,47204377/18094.938,47204377,lidar,unknown,train,nearest_object,,1,Which object is nearest to the cabinet?,,television,object,,ARKitScenes/3dod/Training/47204377/47204377_frames/lowres_wide/47204377_18094.938.png,ARKitScenes/3dod/Training/47204377/47204377_frames/lowres_depth/47204377_18094.938.png,rule,"{""anchor_concept"": ""cabinet"", ""anchor_object_index"": 6, ""answer_concept"": ""television"", ""answer_object_index"": 7, ""nearest_distance_m"": 0.482, ""second_nearest_distance_m"": 1.447}"
train_004330,42898247/167673.047,42898247,lidar,unknown,train,nearest_object,,4,What is right next to the television?,,table,object,,ARKitScenes/3dod/Training/42898247/42898247_frames/lowres_wide/42898247_167673.047.png,ARKitScenes/3dod/Training/42898247/42898247_frames/lowres_depth/42898247_167673.047.png,rule,"{""anchor_concept"": ""television"", ""anchor_object_index"": 11, ""answer_concept"": ""table"", ""answer_object_index"": 5, ""nearest_distance_m"": 0.586, ""second_nearest_distance_m"": 1.011}"
train_000925,41126783/4715.940,41126783,lidar,unknown,train,nearest_object,,0,What is the closest object to the stool?,,chair,object,,ARKitScenes/3dod/Training/41126783/41126783_frames/lowres_wide/41126783_4715.940.png,ARKitScenes/3dod/Training/41126783/41126783_frames/lowres_depth/41126783_4715.940.png,rule,"{""anchor_concept"": ""stool"", ""anchor_object_index"": 24, ""answer_concept"": ""chair"", ""answer_object_index"": 26, ""nearest_distance_m"": 0.685, ""second_nearest_distance_m"": 1.009}"
train_000302,47332508/343884.485,47332508,lidar,unknown,train,nearest_object,,3,Which item is positioned nearest to the table?,,sofa,object,,ARKitScenes/3dod/Training/47332508/47332508_frames/lowres_wide/47332508_343884.485.png,ARKitScenes/3dod/Training/47332508/47332508_frames/lowres_depth/47332508_343884.485.png,rule,"{""anchor_concept"": ""table"", ""anchor_object_index"": 1, ""answer_concept"": ""sofa"", ""answer_object_index"": 0, ""nearest_distance_m"": 0.512, ""second_nearest_distance_m"": 1.482}"
train_004308,42898427/1105.759,42898427,lidar,unknown,train,nearest_object,,5,Which object is closest in distance to the television?,,stool,object,,ARKitScenes/3dod/Training/42898427/42898427_frames/lowres_wide/42898427_1105.759.png,ARKitScenes/3dod/Training/42898427/42898427_frames/lowres_depth/42898427_1105.759.png,rule,"{""anchor_concept"": ""television"", ""anchor_object_index"": 9, ""answer_concept"": ""stool"", ""answer_object_index"": 7, ""nearest_distance_m"": 1.315, ""second_nearest_distance_m"": 2.248}"
train_004295,47332418/407250.489,47332418,lidar,unknown,train,nearest_object,,2,What sits closest to the cabinet?,,sink,object,,ARKitScenes/3dod/Training/47332418/47332418_frames/lowres_wide/47332418_407250.489.png,ARKitScenes/3dod/Training/47332418/47332418_frames/lowres_depth/47332418_407250.489.png,rule,"{""anchor_concept"": ""cabinet"", ""anchor_object_index"": 2, ""answer_concept"": ""sink"", ""answer_object_index"": 3, ""nearest_distance_m"": 0.043, ""second_nearest_distance_m"": 0.881}"
train_000476,47334001/51151.452,47334001,lidar,unknown,train,nearest_object,,3,Which item is positioned nearest to the cabinet?,,stool,object,,ARKitScenes/3dod/Training/47334001/47334001_frames/lowres_wide/47334001_51151.452.png,ARKitScenes/3dod/Training/47334001/47334001_frames/lowres_depth/47334001_51151.452.png,rule,"{""anchor_concept"": ""cabinet"", ""anchor_object_index"": 6, ""answer_concept"": ""stool"", ""answer_object_index"": 4, ""nearest_distance_m"": 0.318, ""second_nearest_distance_m"": 0.589}"
train_002262,47895656/368592.185,47895656,lidar,unknown,train,nearest_object,,3,Which item is positioned nearest to the cabinet?,,table,object,,ARKitScenes/3dod/Training/47895656/47895656_frames/lowres_wide/47895656_368592.185.png,ARKitScenes/3dod/Training/47895656/47895656_frames/lowres_depth/47895656_368592.185.png,rule,"{""anchor_concept"": ""cabinet"", ""anchor_object_index"": 7, ""answer_concept"": ""table"", ""answer_object_index"": 8, ""nearest_distance_m"": 0.195, ""second_nearest_distance_m"": 0.339}"
train_003052,48018760/15060.369,48018760,lidar,unknown,train,nearest_object,,3,Which item is positioned nearest to the oven?,,refrigerator,object,,ARKitScenes/3dod/Training/48018760/48018760_frames/lowres_wide/48018760_15060.369.png,ARKitScenes/3dod/Training/48018760/48018760_frames/lowres_depth/48018760_15060.369.png,rule,"{""anchor_concept"": ""oven"", ""anchor_object_index"": 14, ""answer_concept"": ""refrigerator"", ""answer_object_index"": 16, ""nearest_distance_m"": 0.384, ""second_nearest_distance_m"": 0.62}"
