question_id,image_id,sequence_id,sensor,scene_type,split,question_type,variant,template_id,question,question_paraphrased,answer,answer_type,answer_space,image_path,depth_path,source,evidence
train_010712,kv2/kinect2data/000306_2014-06-02_15-07-56_260595134347_rgbf000105-resize,scene:kv2/kinect2data/000306_2014-06-02_15-07-56_260595134347_rgbf000105-resize,kv2,furniture_store,train,left_right,,3,Is the poster on the left side or the right side of the chair?,,right,choice,left|right,SUNRGBD/kv2/kinect2data/000306_2014-06-02_15-07-56_260595134347_rgbf000105-resize/image/0000105.jpg,SUNRGBD/kv2/kinect2data/000306_2014-06-02_15-07-56_260595134347_rgbf000105-resize/depth_bfx/0000105.png,rule,"{""a_concept"": ""poster"", ""b_concept"": ""chair"", ""a_centroid_x"": 572.9797100239715, ""b_centroid_x"": 465.1867560475848, ""horizontal_gap_px"": 107.79295397638668, ""image_width"": 730}"
train_014885,kv2/kinect2data/000582_2014-06-09_16-27-17_260595134347_rgbf000224-resize,scene:kv2/kinect2data/000582_2014-06-09_16-27-17_260595134347_rgbf000224-resize,kv2,discussion_area,train,left_right,,0,Is the glass to the left or to the right of the cord?,,right,choice,left|right,SUNRGBD/kv2/kinect2data/000582_2014-06-09_16-27-17_260595134347_rgbf000224-resize/image/0000224.jpg,SUNRGBD/kv2/kinect2data/000582_2014-06-09_16-27-17_260595134347_rgbf000224-resize/depth_bfx/0000224.png,rule,"{""a_concept"": ""glass"", ""b_concept"": ""cord"", ""a_centroid_x"": 580.8954954954955, ""b_centroid_x"": 296.9603134479272, ""horizontal_gap_px"": 283.93518204756833, ""image_width"": 730}"
train_008005,kv2/kinect2data/002390_2014-06-28_20-19-09_260595134347_rgbf000052-resize,scene:kv2/kinect2data/002390_2014-06-28_20-19-09_260595134347_rgbf000052-resize,kv2,furniture_store,train,left_right,,1,"Relative to the shelf, is the headboard on the left or the right?",,left,choice,left|right,SUNRGBD/kv2/kinect2data/002390_2014-06-28_20-19-09_260595134347_rgbf000052-resize/image/0000052.jpg,SUNRGBD/kv2/kinect2data/002390_2014-06-28_20-19-09_260595134347_rgbf000052-resize/depth_bfx/0000052.png,rule,"{""a_concept"": ""headboard"", ""b_concept"": ""shelf"", ""a_centroid_x"": 199.57516415604482, ""b_centroid_x"": 563.2762491855862, ""horizontal_gap_px"": 363.70108502954133, ""image_width"": 730}"
train_010944,kv2/kinect2data/002025_2014-06-24_16-32-36_260595134347_rgbf000043-resize,scene:kv2/kinect2data/002025_2014-06-24_16-32-36_260595134347_rgbf000043-resize,kv2,furniture_store,train,left_right,,4,"Which side of the sofa is the flower on, left or right?",,right,choice,left|right,SUNRGBD/kv2/kinect2data/002025_2014-06-24_16-32-36_260595134347_rgbf000043-resize/image/0000043.jpg,SUNRGBD/kv2/kinect2data/002025_2014-06-24_16-32-36_260595134347_rgbf000043-resize/depth_bfx/0000043.png,rule,"{""a_concept"": ""flower"", ""b_concept"": ""sofa"", ""a_centroid_x"": 473.6538096550035, ""b_centroid_x"": 295.3878917511392, ""horizontal_gap_px"": 178.2659179038643, ""image_width"": 730}"
train_014321,kv2/kinect2data/000930_2014-06-09_16-35-05_260595134347_rgbf000153-resize,scene:kv2/kinect2data/000930_2014-06-09_16-35-05_260595134347_rgbf000153-resize,kv2,kitchen,train,left_right,,2,"Looking at the counter, is the trash can positioned on its left or right?",,left,choice,left|right,SUNRGBD/kv2/kinect2data/000930_2014-06-09_16-35-05_260595134347_rgbf000153-resize/image/0000153.jpg,SUNRGBD/kv2/kinect2data/000930_2014-06-09_16-35-05_260595134347_rgbf000153-resize/depth_bfx/0000153.png,rule,"{""a_concept"": ""trashcan"", ""b_concept"": ""counter"", ""a_centroid_x"": 451.8022397977142, ""b_centroid_x"": 648.4317512989595, ""horizontal_gap_px"": 196.6295115012453, ""image_width"": 730}"
train_011791,kv2/kinect2data/002327_2014-06-28_20-02-38_260595134347_rgbf000048-resize,scene:kv2/kinect2data/002327_2014-06-28_20-02-38_260595134347_rgbf000048-resize,kv2,furniture_store,train,left_right,,2,"Looking at the glass, is the flower positioned on its left or right?",,left,choice,left|right,SUNRGBD/kv2/kinect2data/002327_2014-06-28_20-02-38_260595134347_rgbf000048-resize/image/0000048.jpg,SUNRGBD/kv2/kinect2data/002327_2014-06-28_20-02-38_260595134347_rgbf000048-resize/depth_bfx/0000048.png,rule,"{""a_concept"": ""flower"", ""b_concept"": ""glass"", ""a_centroid_x"": -56.79328441499846, ""b_centroid_x"": 725.8674118658641, ""horizontal_gap_px"": 782.6606962808626, ""image_width"": 730}"
train_016000,kv2/kinect2data/003027_2014-06-15_13-16-04_094959634447_rgbf000053-resize,scene:kv2/kinect2data/003027_2014-06-15_13-16-04_094959634447_rgbf000053-resize,kv2,furniture_store,train,left_right,,5,"From the carpet, which direction is the table in, left or right?",,right,choice,left|right,SUNRGBD/kv2/kinect2data/003027_2014-06-15_13-16-04_094959634447_rgbf000053-resize/image/0000053.jpg,SUNRGBD/kv2/kinect2data/003027_2014-06-15_13-16-04_094959634447_rgbf000053-resize/depth_bfx/0000053.png,rule,"{""a_concept"": ""table"", ""b_concept"": ""carpet"", ""a_centroid_x"": 461.1232437650141, ""b_centroid_x"": 306.80559846463507, ""horizontal_gap_px"": 154.317645300379, ""image_width"": 730}"
train_014643,kv2/kinect2data/002173_2014-06-24_21-42-33_260595134347_rgbf000001-resize,scene:kv2/kinect2data/002173_2014-06-24_21-42-33_260595134347_rgbf000001-resize,kv2,furniture_store,train,left_right,,3,Is the light on the left side or the right side of the table?,,left,choice,left|right,SUNRGBD/kv2/kinect2data/002173_2014-06-24_21-42-33_260595134347_rgbf000001-resize/image/0000001.jpg,SUNRGBD/kv2/kinect2data/002173_2014-06-24_21-42-33_260595134347_rgbf000001-resize/depth_bfx/0000001.png,rule,"{""a_concept"": ""light"", ""b_concept"": ""table"", ""a_centroid_x"": 82.76554487179487, ""b_centroid_x"": 769.559277197487, ""horizontal_gap_px"": 686.7937323256921, ""image_width"": 730}"
train_001092,kv2/kinect2data/000600_2014-06-09_16-48-11_260595134347_rgbf000122-resize,scene:kv2/kinect2data/000600_2014-06-09_16-48-11_260595134347_rgbf000122-resize,kv2,office,train,left_right,,1,"Relative to the cpu, is the bin on the left or the right?",,right,choice,left|right,SUNRGBD/kv2/kinect2data/000600_2014-06-09_16-48-11_260595134347_rgbf000122-resize/image/0000122.jpg,SUNRGBD/kv2/kinect2data/000600_2014-06-09_16-48-11_260595134347_rgbf000122-resize/depth_bfx/0000122.png,rule,"{""a_concept"": ""bin"", ""b_concept"": ""cpu"", ""a_centroid_x"": 617.8864046973804, ""b_centroid_x"": 223.25423786449034, ""horizontal_gap_px"": 394.63216683289005, ""image_width"": 730}"
train_010688,kv2/kinect2data/001628_2014-06-20_16-29-24_260595134347_rgbf000014-resize,scene:kv2/kinect2data/001628_2014-06-20_16-29-24_260595134347_rgbf000014-resize,kv2,study_space,train,left_right,,2,"Looking at the toy, is the book positioned on its left or right?",,left,choice,left|right,SUNRGBD/kv2/kinect2data/001628_2014-06-20_16-29-24_260595134347_rgbf000014-resize/image/0000014.jpg,SUNRGBD/kv2/kinect2data/001628_2014-06-20_16-29-24_260595134347_rgbf000014-resize/depth_bfx/0000014.png,rule,"{""a_concept"": ""book"", ""b_concept"": ""toy"", ""a_centroid_x"": 399.99876117696243, ""b_centroid_x"": 485.31481481481484, ""horizontal_gap_px"": 85.3160536378524, ""image_width"": 730}"
