question_id,image_id,sequence_id,sensor,scene_type,split,question_type,variant,template_id,question,question_paraphrased,answer,answer_type,answer_space,image_path,depth_path,source,evidence
train_000000,41127082/1079.616,41127082,lidar,unknown,train,existence,positive,5,Is there any cabinet visible in the image?,,yes,yes_no,yes|no,ARKitScenes/3dod/Training/41127082/41127082_frames/lowres_wide/41127082_1079.616.png,ARKitScenes/3dod/Training/41127082/41127082_frames/lowres_depth/41127082_1079.616.png,rule,"{""concept"": ""cabinet"", ""object_index"": 1, ""area_frac"": 0.34935633242242675}"
train_000001,47670124/41667.395,47670124,lidar,unknown,train,relative_depth,farther,4,"Of the table and the cabinet, which is farther?",,cabinet,choice,table|cabinet,ARKitScenes/3dod/Training/47670124/47670124_frames/lowres_wide/47670124_41667.395.png,ARKitScenes/3dod/Training/47670124/47670124_frames/lowres_depth/47670124_41667.395.png,rule,"{""a_concept"": ""cabinet"", ""a_depth_m"": 1.8270000219345093, ""b_concept"": ""table"", ""b_depth_m"": 1.375, ""comparative"": ""farther"", ""answer_concept"": ""cabinet""}"
train_000002,47204377/18094.938,47204377,lidar,unknown,train,relative_depth,farther,4,"Of the table and the television, which is farther?",,television,choice,table|television,ARKitScenes/3dod/Training/47204377/47204377_frames/lowres_wide/47204377_18094.938.png,ARKitScenes/3dod/Training/47204377/47204377_frames/lowres_depth/47204377_18094.938.png,rule,"{""a_concept"": ""table"", ""a_depth_m"": 1.6859999895095825, ""b_concept"": ""television"", ""b_depth_m"": 2.4700000286102295, ""comparative"": ""farther"", ""answer_concept"": ""television""}"
train_000003,42897931/349894.590,42897931,lidar,unknown,train,left_right,,2,"Looking at the toilet, is the bathtub positioned on its left or right?",,left,choice,left|right,ARKitScenes/3dod/Training/42897931/42897931_frames/lowres_wide/42897931_349894.590.png,ARKitScenes/3dod/Training/42897931/42897931_frames/lowres_depth/42897931_349894.590.png,rule,"{""a_concept"": ""bathtub"", ""b_concept"": ""toilet"", ""a_centroid_x"": 44.44317161435314, ""b_centroid_x"": 118.43208981128498, ""horizontal_gap_px"": 73.98891819693185, ""image_width"": 256}"
train_000004,47334938/663119.104,47334938,lidar,unknown,train,relative_depth,closer,1,"Between the sofa and the television, which one is closer to the camera?",,sofa,choice,sofa|television,ARKitScenes/3dod/Training/47334938/47334938_frames/lowres_wide/47334938_663119.104.png,ARKitScenes/3dod/Training/47334938/47334938_frames/lowres_depth/47334938_663119.104.png,rule,"{""a_concept"": ""television"", ""a_depth_m"": 3.2260000705718994, ""b_concept"": ""sofa"", ""b_depth_m"": 2.497999906539917, ""comparative"": ""closer"", ""answer_concept"": ""sofa""}"
train_000005,41159823/86654.081,41159823,lidar,unknown,train,relative_depth,closer,1,"Between the sink and the toilet, which one is closer to the camera?",,toilet,choice,sink|toilet,ARKitScenes/3dod/Training/41159823/41159823_frames/lowres_wide/41159823_86654.081.png,ARKitScenes/3dod/Training/41159823/41159823_frames/lowres_depth/41159823_86654.081.png,rule,"{""a_concept"": ""toilet"", ""a_depth_m"": 1.7079999446868896, ""b_concept"": ""sink"", ""b_depth_m"": 2.049999952316284, ""comparative"": ""closer"", ""answer_concept"": ""toilet""}"
train_000006,42898216/695029.237,42898216,lidar,unknown,train,relative_depth,closer,1,"Between the sofa and the stool, which one is closer to the camera?",,stool,choice,sofa|stool,ARKitScenes/3dod/Training/42898216/42898216_frames/lowres_wide/42898216_695029.237.png,ARKitScenes/3dod/Training/42898216/42898216_frames/lowres_depth/42898216_695029.237.png,rule,"{""a_concept"": ""sofa"", ""a_depth_m"": 2.1029999256134033, ""b_concept"": ""stool"", ""b_depth_m"": 0.9980000257492065, ""comparative"": ""closer"", ""answer_concept"": ""stool""}"
train_000007,42444849/95078.249,42444849,lidar,unknown,train,left_right,,2,"Looking at the table, is the cabinet positioned on its left or right?",,right,choice,left|right,ARKitScenes/3dod/Training/42444849/42444849_frames/lowres_wide/42444849_95078.249.png,ARKitScenes/3dod/Training/42444849/42444849_frames/lowres_depth/42444849_95078.249.png,rule,"{""a_concept"": ""cabinet"", ""b_concept"": ""table"", ""a_centroid_x"": 210.9657243027631, ""b_centroid_x"": 148.96806071960907, ""horizontal_gap_px"": 61.997663583154036, ""image_width"": 256}"
train_000008,47430751/336942.153,47430751,lidar,unknown,train,relative_depth,closer,3,"Which object is closer to the camera, the cabinet or the table?",,table,choice,cabinet|table,ARKitScenes/3dod/Training/47430751/47430751_frames/lowres_wide/47430751_336942.153.png,ARKitScenes/3dod/Training/47430751/47430751_frames/lowres_depth/47430751_336942.153.png,rule,"{""a_concept"": ""table"", ""a_depth_m"": 1.034000039100647, ""b_concept"": ""cabinet"", ""b_depth_m"": 1.3860000371932983, ""comparative"": ""closer"", ""answer_concept"": ""table""}"
train_000009,41254551/136543.034,41254551,lidar,unknown,train,identify_superlative,closest_camera,4,"Not counting the room's walls, floor, or ceiling, which object is closest to us in this image?",,sofa,object,,ARKitScenes/3dod/Training/41254551/41254551_frames/lowres_wide/41254551_136543.034.png,ARKitScenes/3dod/Training/41254551/41254551_frames/lowres_depth/41254551_136543.034.png,rule,"{""winner_concept"": ""sofa"", ""winner_object_index"": 0, ""winner_area_frac"": 0.08039268703092128, ""winner_depth_m"": 2.943000078201294, ""runner_up_concept"": ""stool"", ""runner_up_area_frac"": 0.006069899546953958, ""runner_up_depth_m"": 5.414000034332275}"
